ts_code,trade_date,open,high,low,close,change,pct_chg,vol,amount,30MA,MACD,slowj,score,Read_count,n_vol,n_amount
002770.SZ,20200722,1.78,1.81,1.76,1.8,0.03,1.6949,340261.14,60729.658,2.184666667,-0.314489417,39.85011404,0.313432971,34382,1.067431539,0.894381772
002770.SZ,20200723,1.77,1.78,1.71,1.75,-0.05,-2.7778,309523.38,53941.406,2.184666667,-0.30742445,22.58064516,0.316655106,33924,0.846624257,0.649989364
002770.SZ,20200724,1.73,1.84,1.71,1.78,0.03,1.7143,480385.98,85573.673,2.184666667,-0.295992645,21.3739546,0.292055839,33206,2.074030101,1.788822438
002770.SZ,20200727,1.76,1.78,1.71,1.73,-0.05,-2.809,256216.51,44503.534,2.184666667,-0.28765157,5.821054029,0.258769971,37643,0.463689877,0.310204651
002770.SZ,20200728,1.73,1.82,1.72,1.82,0.09,5.2023,502464.63,90103.464,2.184666667,-0.270658972,35.35477234,0.363956289,46119,2.232633939,1.951905148
002770.SZ,20200729,1.8,1.86,1.77,1.81,-0.01,-0.5495,415877.92,75146.044,2.184666667,-0.255058972,53.58323377,0.307578308,40577,1.610631032,1.413404237
002770.SZ,20200730,1.8,1.83,1.78,1.8,-0.01,-0.5525,255447.28,45963.452,1.889,-0.240727815,81.24485597,0.240595825,21102,0.458164049,0.362764997
002770.SZ,20200731,1.78,1.82,1.77,1.78,-0.02,-1.1111,235275.09,42044.699,1.889,-0.228351805,64.27983539,0.300579464,17365,0.313255427,0.221681036
002770.SZ,20200803,1.78,1.83,1.77,1.81,0.03,1.6854,293136.52,52729.287,1.889,-0.213660039,65.37037037,0.332320851,22013,0.728907871,0.606350342
002770.SZ,20200804,1.8,1.85,1.79,1.83,0.02,1.105,305126.74,55459.373,1.889,-0.198119082,77.03703704,0.362392465,25335,0.815040624,0.704639606
002770.SZ,20200805,1.82,1.92,1.81,1.9,0.07,3.8251,485167.48,91526.259,1.889,-0.178101306,102.962963,0.432560584,41427,2.108378408,2.003128982
002770.SZ,20200806,1.88,1.91,1.84,1.88,-0.02,-1.0526,401347.58,74967.129,1.889,-0.16198366,99.89417989,0.316774741,26537,1.506251113,1.406962893
002770.SZ,20200807,1.87,1.88,1.84,1.85,-0.03,-1.5957,239290.3,44390.961,1.889,-0.14990307,75.31746032,0.32986016,40050,0.342099025,0.306151769
002770.SZ,20200810,1.86,1.87,1.84,1.86,0.01,0.5405,204106.8,37875.347,1.889,-0.137932202,51.77248677,0.29806533,31927,0.089355397,0.071574945
002770.SZ,20200811,1.86,1.93,1.82,1.87,0.01,0.5376,366731.38,68591.308,1.889,-0.126183719,47.52645503,0.314981439,29293,1.257582732,1.177418933
002770.SZ,20200812,1.85,1.86,1.82,1.85,-0.02,-1.0695,233620.34,42986.009,1.889,-0.117136518,46.73280423,0.386944018,21523,0.301368391,0.255570323
002770.SZ,20200813,1.84,1.9,1.83,1.87,0.02,1.0811,245743.75,46048.91,1.889,-0.107117924,56.11111111,0.303346327,22989,0.388457926,0.365841678
002770.SZ,20200814,1.87,1.92,1.86,1.9,0.03,1.6043,241852.9,45803.412,1.889,-0.095654719,71.38888889,0.30170449,21358,0.360507678,0.357003196
002770.SZ,20200817,1.9,1.93,1.88,1.92,0.02,1.0526,243836.86,46459.836,1.889,-0.083988051,99.66931217,0.326461368,23509,0.374759621,0.380635943
002770.SZ,20200818,1.91,1.98,1.9,1.95,0.03,1.5625,370325.13,72116.522,1.889,-0.071497209,101.4219577,0.369367783,20005,1.283398737,1.304334601
002770.SZ,20200819,1.94,1.95,1.9,1.92,-0.03,-1.5385,270582.2,52176.28,1.889,-0.063289315,75.49603175,0.415768522,19871,0.566887018,0.586440841
002770.SZ,20200820,1.91,1.93,1.89,1.89,-0.03,-1.5625,169223.08,32247.7,1.889,-0.058530546,37.63227513,0.402206555,15606,-0.161234737,-0.131033061
002770.SZ,20200821,1.9,1.97,1.89,1.94,0.05,2.6455,302505.51,58668.154,1.889,-0.050146547,46.99074074,0.374839098,25193,0.796210798,0.820162971
002770.SZ,20200824,1.93,1.94,1.9,1.92,-0.02,-1.0309,225014.34,43216.59,1.889,-0.044601858,59.02777778,0.365075858,19891,0.239546467,0.26387176
002770.SZ,20200825,1.92,1.93,1.87,1.89,-0.03,-1.5625,266010.9,50381.616,1.889,-0.042142607,57.5,0.309929162,27673,0.534048701,0.521828882
002770.SZ,20200826,1.87,1.89,1.8,1.83,-0.06,-3.1746,230675.88,42581.731,1.889,-0.044521911,12.96296296,0.247936439,26343,0.280216615,0.241015401
002770.SZ,20200827,1.8,1.84,1.78,1.83,0,0,213477.62,38643.808,1.889,-0.045878666,-2.407407407,0.353267515,23140,0.15667147,0.099241277
002770.SZ,20200828,1.82,1.92,1.81,1.92,0.09,4.918,493441.57,93439.949,1.889,-0.03923933,42.22222222,0.456124329,31576,2.167816029,2.072026145
002770.SZ,20200831,1.91,1.93,1.87,1.89,-0.03,-1.5625,313876.58,59403.585,1.889,-0.035983561,75.95516569,0.321893448,26833,0.877895835,0.846640148
002770.SZ,20200901,1.89,1.94,1.87,1.92,0.03,1.5873,248889.83,47451.359,1.889,-0.030629513,97.99220273,0.368104121,17472,0.411058056,0.41633301
002770.SZ,20200902,1.91,1.93,1.89,1.9,-0.02,-1.0417,179896.7,34257.844,1.889,-0.027681134,72.69005848,0.331855831,19294,-0.084559891,-0.058663336
002770.SZ,20200903,1.9,1.96,1.89,1.93,0.03,1.5789,303988.92,58387.792,1.889,-0.022662533,83.17738791,0.331985704,23259,0.806866998,0.810069305
002770.SZ,20200904,1.92,2.02,1.9,2,0.07,3.6269,482796.24,95583.116,1.889,-0.012888273,93.03118908,0.371928953,33900,2.091344406,2.149184999
002770.SZ,20200907,2.01,2.02,1.93,1.94,-0.06,-3,380309.2,74605.901,1.889,-0.009869827,86.11111111,0.160745348,70918,1.355120143,1.393957869
002770.SZ,20200908,1.94,1.97,1.93,1.96,0.02,1.0309,230513.9,45025.53,1.889,-0.005797029,74.85380117,0.384422637,14079,0.279053018,0.328997686
002770.SZ,20200909,1.95,1.96,1.91,1.92,-0.04,-2.0408,289554.68,55797.329,1.889,-0.005730911,45.37037037,0.387433739,19553,0.703177423,0.716806785
002770.SZ,20200910,1.92,1.94,1.82,1.83,-0.09,-4.6875,314432.17,59350.699,1.775666667,-0.012793286,7.989417989,0.256746716,14220,0.881886962,0.844736133
002770.SZ,20200911,1.79,1.84,1.77,1.84,0.01,0.5464,178561.94,32200.562,1.775666667,-0.017382973,-6.132275132,0.290175655,18579,-0.094148252,-0.132730135
002770.SZ,20200914,1.83,1.91,1.82,1.86,0.02,1.087,180381.9,33709.295,1.775666667,-0.019185344,5.275132275,0.275034311,22465,-0.081074416,-0.078412339
002770.SZ,20200915,1.86,1.87,1.82,1.85,-0.01,-0.5376,130966.19,24113.472,1.775666667,-0.021176542,40.35978836,0.425174755,32890,-0.436056321,-0.423883645
002770.SZ,20200916,1.84,1.84,1.81,1.82,-0.03,-1.6216,119237.4,21723.434,1.775666667,-0.024888432,31.77777778,0.370444625,19666,-0.52031107,-0.509930413
002770.SZ,20200917,1.82,1.84,1.79,1.83,0.01,0.5495,115481.99,20947.27,1.775666667,-0.026715258,18.22222222,0.525697423,31816,-0.547288373,-0.53787407
002770.SZ,20200918,1.82,1.84,1.8,1.83,0,0,114208.82,20809.837,1.775666667,-0.027842084,21.11111111,0.366283445,19674,-0.556434297,-0.542821969
002770.SZ,20200921,1.83,1.84,1.82,1.84,0.01,0.5464,82122.4,15030.955,1.775666667,-0.027609916,37.32163743,0.295851184,17859,-0.786929791,-0.750874776
002770.SZ,20200922,1.83,1.83,1.8,1.81,-0.03,-1.6304,91428.68,16615.042,1.775666667,-0.029506537,33.65737874,0.334079978,12601,-0.720077346,-0.693844065
002770.SZ,20200923,1.81,1.83,1.8,1.81,0,0,67202.9,12166.542,1.775666667,-0.030656238,28.90815273,0.357967142,22993,-0.894105273,-0.854000115
002770.SZ,20200924,1.8,1.81,1.73,1.74,-0.07,-3.8674,166838.1,29324.874,1.775666667,-0.036791686,4.99620511,0.290891749,22978,-0.178367441,-0.2362614
002770.SZ,20200925,1.75,1.77,1.74,1.76,0.02,1.1494,86353.9,15130.993,1.775666667,-0.039583942,10.6322451,0.354291867,10255,-0.756532455,-0.747273182
002770.SZ,20200928,1.75,1.76,1.72,1.72,-0.04,-2.2727,87093.3,15084.041,1.775666667,-0.044511391,-4.170557112,0.431301288,9316,-0.751220913,-0.74896356
002770.SZ,20200929,1.72,1.74,1.71,1.73,0.01,0.5814,65348.1,11294.93,1.775666667,-0.047066954,10.29032696,0.36037619,10424,-0.907429384,-0.885380116
002770.SZ,20200930,1.73,1.74,1.71,1.73,0,0,57298.5,9886.565,1.775666667,-0.048532801,9.754443088,0.354803458,9485,-0.965254362,-0.936084438
002770.SZ,20201009,1.74,1.76,1.73,1.75,0.02,1.1561,80742.8,14127.807,1.775666667,-0.047532735,32.84493284,0.209081128,10677,-0.796840263,-0.783390144
002770.SZ,20201012,1.75,1.79,1.74,1.78,0.03,1.7143,104931,18599.468,1.775666667,-0.043814361,60.75498575,0.426960053,31026,-0.623082296,-0.622400246
002770.SZ,20201013,1.77,1.79,1.77,1.78,0,0,78437.5,13922.52,1.775666667,-0.040401796,77.77777778,0.330223339,12880,-0.81340058,-0.79078094
002770.SZ,20201014,1.78,1.78,1.74,1.75,-0.03,-1.6854,81867.5,14361.201,1.775666667,-0.039660877,65.86894587,0.324445382,12906,-0.788760886,-0.774987433
002770.SZ,20201015,1.75,1.78,1.74,1.76,0.01,0.5714,106171.8,18641.627,1.775666667,-0.037830688,57.51424501,0.412333844,14673,-0.614168905,-0.620882427
002770.SZ,20201016,1.76,1.78,1.75,1.76,0,0,71089.7,12526.993,1.775666667,-0.035965661,57.77777778,0.486399631,8934,-0.866184118,-0.841023065
002770.SZ,20201019,1.77,1.77,1.74,1.74,-0.02,-1.1364,63613.4,11159.682,1.775666667,-0.035690034,53.98148148,0.357179679,10457,-0.919890748,-0.89024935
002770.SZ,20201020,1.74,1.77,1.73,1.76,0.02,1.1494,60638.5,10617.466,1.775666667,-0.033471921,53.61111111,0.379458626,9083,-0.941261192,-0.909770351
002770.SZ,20201021,1.75,1.76,1.74,1.74,-0.02,-1.1364,60493,10554.462,1.775666667,-0.032948078,18.51851852,0.30929041,9896,-0.942306403,-0.912038637
002770.SZ,20201022,1.74,1.74,1.73,1.74,0,0,49082.78,8505.176,1.775666667,-0.032162183,12.5,0.382688459,12261,-1.024272677,-0.985817563
002770.SZ,20201023,1.73,1.74,1.71,1.72,-0.02,-1.1494,71413.1,12306.505,1.775666667,-0.032775375,-11.57407407,0.302713666,10610,-0.863860947,-0.848961131
002770.SZ,20201026,1.71,1.74,1.71,1.74,0.02,1.1628,59471.52,10273.925,1.775666667,-0.031286846,24.53703704,0.344985475,6327,-0.949644291,-0.922138603
002770.SZ,20201027,1.73,1.74,1.72,1.73,-0.01,-0.5747,45449.1,7852.372,1.775666667,-0.030561794,39.08730159,0.315990546,8303,-1.050375523,-1.009319981
002770.SZ,20201028,1.73,1.78,1.71,1.77,0.04,2.3121,157716.18,27572.346,1.775666667,-0.026454569,87.56613757,0.346628817,12118,-0.24389552,-0.299356367
002770.SZ,20201029,1.75,1.76,1.73,1.75,-0.02,-1.1299,84804.93,14791.427,1.775666667,-0.024530622,79.76190476,0.334674581,14391,-0.767659611,-0.759498325
002770.SZ,20201030,1.8,1.84,1.8,1.84,0.09,5.1429,404116.69,74267.199,1.986666667,-0.015564218,115.8730159,0.371572284,36921,1.526143248,1.381763831
002770.SZ,20201102,1.89,1.89,1.79,1.84,0,0,343609.4,63236.469,1.986666667,-0.008361887,86.33156966,0.318611526,27546,1.091484046,0.984632631
002770.SZ,20201103,1.81,1.85,1.8,1.83,-0.01,-0.5435,212096.7,38798.661,1.986666667,-0.003421464,80.86419753,0.337960317,25283,0.146751515,0.104816335
002770.SZ,20201104,1.83,1.84,1.8,1.8,-0.03,-1.6393,154540.5,28043.116,1.986666667,-0.001904934,42.85714286,0.322149487,20361,-0.266708284,-0.282407584
002770.SZ,20201105,1.81,1.89,1.81,1.89,0.09,5,327243.35,61096.96,1.986666667,0.006484427,73.45679012,0.348502146,36624,0.97391715,0.907605474
002770.SZ,20201106,1.93,1.98,1.89,1.98,0.09,4.7619,450037.6,87959.876,1.986666667,0.020162879,104.3209877,0.36637075,42834,1.856019963,1.874731137
002770.SZ,20201109,2.03,2.08,1.95,1.96,-0.02,-1.0101,660896.8,132401.894,1.986666667,0.029054396,104.4044044,0.355750223,53260,3.370744744,3.474744186
002770.SZ,20201110,1.94,2,1.92,1.97,0.01,0.5102,301154.9,59082.05,1.986666667,0.036487301,68.64864865,0.455397524,19264,0.786508578,0.835064162
002770.SZ,20201111,1.96,2.07,1.93,2.02,0.05,2.5381,394419.61,79562.621,1.986666667,0.045883597,55.63691771,0.390456675,32916,1.456483459,1.572410987
002770.SZ,20201112,2,2.12,2,2.12,0.1,4.9505,474936.82,99207.15,1.986666667,0.060699685,92.44397106,0.42343696,44989,2.034885602,2.27965841
002770.SZ,20201113,2.15,2.2,2.06,2.1,-0.02,-0.9434,543540.6,115400.719,1.986666667,0.070020555,94.83446501,0.376461923,34740,2.527706621,2.862663478
002770.SZ,20201116,2.08,2.21,2.06,2.18,0.08,3.8095,535356.55,113433.137,1.986666667,0.082907043,96.59958348,0.468309536,46612,2.46891581,2.791826081
002770.SZ,20201117,2.15,2.22,2.13,2.15,-0.03,-1.3761,330549.68,71741.54,1.986666667,0.089665321,78.92019437,0.365113313,28920,0.99766845,1.290834402
002770.SZ,20201118,2.13,2.16,2.05,2.07,-0.08,-3.7209,458276.1,95963.392,1.986666667,0.087556676,63.83345652,0.316278823,44444,1.91520192,2.162875794
002770.SZ,20201119,2.06,2.1,2.02,2.07,0,0,228972.2,47258.503,1.986666667,0.084906806,38.97511702,0.355491619,31847,0.267978087,0.409389759
002770.SZ,20201120,2.06,2.07,2.04,2.06,-0.01,-0.4831,178595.7,36625.084,1.986666667,0.081065378,24.80331773,0.374921347,23474,-0.093905734,0.026562652
002770.SZ,20201123,2.06,2.09,2.01,2.02,-0.04,-1.9417,267324.9,54525.133,1.986666667,0.073941007,24.0599151,0.349843135,39664,0.54348793,0.671004855
002770.SZ,20201124,2.02,2.05,2,2.01,-0.01,-0.495,162256.4,32676.684,1.986666667,0.066718881,1.988854058,0.264955537,29526,-0.211280468,-0.115588668
002770.SZ,20201125,1.93,1.98,1.92,1.94,-0.07,-3.4826,329186.1,64166.061,1.986666667,0.054716145,-13.79658656,0.284618559,36709,0.987873058,1.018100043
002770.SZ,20201126,1.93,2.01,1.9,1.97,0.03,1.5464,246932.9,48327.183,1.986666667,0.04708191,-1.930729711,0.374506558,21577,0.397000285,0.447864653
002770.SZ,20201127,1.97,2.03,1.96,2.02,0.05,2.5381,235749.48,47159.472,1.986666667,0.044552729,34.62491292,0.271257804,36364,0.316663247,0.405824419
002770.SZ,20201130,2.01,2.04,1.99,2,-0.02,-0.9901,142781.28,28687.904,1.986666667,0.040468012,54.06646594,0.410537848,13060,-0.351181629,-0.259193759
002770.SZ,20201201,2.01,2.04,1.99,2.01,0.01,0.5,107800.1,21736.165,1.986666667,0.037604282,65.44159544,0.306001393,19671,-0.602471875,-0.509472068
002770.SZ,20201202,2.01,2.03,1.96,1.99,-0.02,-0.995,171114.33,34010.247,1.986666667,0.033336638,58.69039586,0.295258605,25300,-0.147648784,-0.067577387
002770.SZ,20201203,1.99,1.99,1.96,1.98,-0.01,-0.5025,101467.57,20051.102,1.986666667,0.028815417,51.97031039,0.301279088,17067,-0.647962137,-0.570138143
002770.SZ,20201204,1.98,2.03,1.96,2.01,0.03,1.5152,157001.2,31312.965,1.986666667,0.027337932,63.2268706,0.320594646,15446,-0.249031639,-0.164685632
002770.SZ,20201207,2,2.01,1.97,1.98,-0.03,-1.4925,120557,23970.49,1.986666667,0.023475652,65.9454191,0.348993879,26859,-0.510831612,-0.42903132
002770.SZ,20201208,1.97,1.98,1.95,1.96,-0.02,-1.0101,108030.7,21202.993,1.986666667,0.018586679,60.28404344,0.373965844,27023,-0.600815341,-0.528667464
002770.SZ,20201209,1.96,1.96,1.91,1.91,-0.05,-2.551,146461.88,28288.711,1.986666667,0.010555869,0.907825118,0.185104021,22605,-0.32474173,-0.273565609
002770.SZ,20201210,1.92,1.94,1.88,1.92,0.01,0.5236,110278.23,21081.84,1.986666667,0.00494135,-7.962962963,0.311664131,13120,-0.58467002,-0.533029246
