trade_date,score
20200424,0.496653055
20200425,0.689889915
20200426,0.297569983
20200427,0.384304192
20200428,0.518286625
20200429,0.32283198
20200430,0.412158064
20200501,0.438467963
20200502,0.544218789
20200503,0.200808549
20200504,0.407354133
20200505,0.316047036
20200506,0.429578406
20200507,0.497904345
20200508,0.441643283
20200509,0.481200596
20200510,0.554042184
20200511,0.422425728
20200512,0.431325066
20200513,0.282269186
20200514,0.521010618
20200515,0.439194687
20200516,0.405691559
20200517,0.732824183
20200518,0.38433667
20200519,0.395069464
20200520,0.441586967
20200521,0.427366272
20200522,0.498202668
20200523,0.462572844
20200524,0.270370513
20200525,0.387577361
20200526,0.454988818
20200527,0.312487903
20200528,0.171437624
20200529,0.547749894
20200530,0.550040794
20200531,0.635806005
20200601,0.391051892
20200602,0.474757065
20200603,0.423162615
20200604,0.490972819
20200605,0.446585653
20200606,0.239135825
20200607,0.451098007
20200608,0.223916769
20200609,0.457997072
20200610,0.494110142
20200611,0.502474006
20200612,0.46124936
20200613,0.415128928
20200614,0.614158113
20200615,0.409283329
20200616,0.516717197
20200617,0.563839299
20200618,0.379244478
20200619,0.299964571
20200620,0.336630073
20200621,0.550216764
20200622,0.330685003
20200623,0.396345472
20200624,0.324950627
20200625,0.460850826
20200626,0.497163561
20200627,0.24659322
20200628,0.301148782
20200629,0.325949397
20200630,0.367748111
20200701,0.249229969
20200702,0.439368933
20200703,0.374214052
20200704,0.391174014
20200705,0.360715381
20200706,0.41387639
20200707,0.371495046
20200708,0.298857913
20200709,0.439283275
20200710,0.372526327
20200711,0.168479845
20200712,0.649699575
20200713,0.497487713
20200714,0.406542181
20200715,0.448745562
20200716,0.19791927
20200717,0.375947972
20200718,0.5761532
20200719,0.335188256
20200720,0.380545882
20200721,0.403245693
20200722,0.361319572
20200723,0.36509774
20200724,0.336813967
20200725,0.311204252
20200726,0.313356004
20200727,0.372758683
20200728,0.366595171
20200729,0.361545169
20200730,0.398949753
20200731,0.358822502
20200801,0.470385037
20200802,0.524856663
20200803,0.413573417
20200804,0.453707051
20200805,0.399498493
20200806,0.452646008
20200807,0.340123292
20200808,0.395609165
20200809,0.480299256
20200810,0.314824624
20200811,0.341350482
20200812,0.309585106
20200813,0.324890268
20200814,0.222806962
20200815,0.269119023
20200816,0.481642068
20200817,0.353970547
20200818,0.272511472
20200819,0.27933384
20200820,0.265418925
20200821,0.295184564
20200822,0.381737746
20200823,0.404464937
20200824,0.370170045
20200825,0.29964188
20200826,0.288546913
20200827,0.364580958
20200828,0.376226292
20200829,0.365345165
20200830,0.430121894
20200831,0.278430066
20200901,0.296679895
20200902,0.28306649
20200903,0.344857292
20200904,0.374450892
20200906,0.433517265
20200907,0.341687536
20200908,0.329343848
20200909,0.291485817
20200910,0.420065531
20200911,0.344154486
20200912,0.349401715
20200913,0.435529262
20200914,0.318066385
20200915,0.269137951
20200916,0.230634455
20200917,0.252250547
20200918,0.439552532
20200919,0.203389358
20200920,0.399108201
20200921,0.410794362
20200922,0.308119942
20200923,0.379418693
20200924,0.344643606
20200925,0.334557575
20200926,0.297345146
20200927,0.434311324
20200928,0.339333269
20200929,0.29027372
20200930,0.326885445
20201002,0.425016516
20201003,0.147929679
20201004,0.252545568
20201005,0.228818475
20201006,0.021620925
20201007,0.332141859
20201008,0.38741045
20201009,0.376592164
20201010,0.423719812
20201011,0.507332024
20201012,0.29635709
20201013,0.369506175
20201014,0.360184952
20201015,0.390922704
20201016,0.443432054
20201017,0.337755326
20201018,0.469412457
20201019,0.305627056
20201020,0.32422847
20201021,0.309979843
20201022,0.342064243
20201023,0.264390512
20201024,0.399778732
20201025,0.440080883
20201026,0.289531697
20201027,0.334968912
20201028,0.33780482
20201029,0.356333594
20201030,0.433565188
20201031,0.432578879
20201101,0.492312482
20201102,0.290347506
20201103,0.309494869
20201104,0.280878034
20201105,0.264533877
20201106,0.264134758
20201107,0.142396142
20201108,0.272010166
20201109,0.396597783
20201110,0.348586725
20201111,0.288719443
20201112,0.312712712
20201113,0.396821632
20201114,0.406187421
20201115,0.426117281
20201116,0.356711024
20201117,0.348520007
20201118,0.39889759
20201119,0.390162156
20201120,0.356541571
20201121,0.37656959
20201122,0.409608531
20201123,0.292440685
20201124,0.331103058
20201125,0.323844841
20201126,0.242638573
20201127,0.401249664
20201128,0.407587663
20201129,0.41680357
20201130,0.355003685
20201201,0.294291743
20201202,0.374347434
20201203,0.408116176
20201204,0.364186587
20201205,0.361780863
20201206,0.25682125
20201207,0.288811161
20201208,0.350725079
20201209,0.337153554
20201210,0.355909739
20201211,0.315762242
20201212,0.492812158
